method,precision,recall,f1,auc,n_predicted,n_actual
MatrixProfile,0.19383825417201542,0.25083056478405313,0.21868211440984794,0.5677424015030561,1558,1204
LOF,0.19272125723738626,0.19352159468438537,0.1931205967675093,0.5519449281163684,1209,1204
IsolationForest,0.1902398676592225,0.19102990033222592,0.19063406547865727,0.550561327243898,1209,1204
zscore_residual_MSTL,0.15057915057915058,0.03239202657807309,0.05331510594668489,0.5060940755537073,259,1204
prob_interval_MSTL,0.14285714285714285,0.014950166112956811,0.02706766917293233,0.5025159499864077,126,1204
