metric,unique_id,Naive,SNaive,RWD,ETS,Theta,HW,MSTL_d,MSTL_dw
mae,ec2_cpu_utilization_24ae8d,0.022027777777777778,0.04680555555555556,0.022092627234396343,0.058199257874734206,0.03199905732638328,0.03185822934424771,0.035407716418616196,0.047285738413736234
mae,ec2_cpu_utilization_53ea38,0.06698611111111114,0.05664583333333335,0.06782765084031121,0.04719590358257549,0.05390992798119608,0.04817472834763903,0.05702668491028072,0.07346128045514361
mae,ec2_cpu_utilization_5f5533,0.7980347222222207,0.7404305555555563,0.9804625237543778,6.104160130032092,0.894017346914057,0.7830778679185014,0.9289385714645798,2.452214495496248
rmse,ec2_cpu_utilization_24ae8d,0.09648589419069391,0.18499609605490477,0.09649110125524643,0.10929361562009014,0.09742622495755743,0.09759332275433458,0.10559855956512314,0.14678698373182977
rmse,ec2_cpu_utilization_53ea38,0.09955023857329523,0.08760081493786333,0.09929392018171163,0.07062254310408804,0.07664833932794596,0.07158175485224172,0.0802357735576052,0.10491780883209323
rmse,ec2_cpu_utilization_5f5533,1.1116684095438596,0.9402346042935839,1.2865472180736397,7.115751458782906,1.1391084719548425,0.9988322614692088,1.1651032725257324,3.030208686968121
smape,ec2_cpu_utilization_24ae8d,0.07615012011050369,0.13362164382364541,0.07638657096973195,0.2540392722728662,0.10765670690083806,0.10720001620697074,0.11851054305432804,0.1532148581941161
smape,ec2_cpu_utilization_53ea38,0.018115514709439562,0.01530430953406426,0.018348449468503135,0.012834303735494643,0.014637696100363674,0.013095228993280727,0.015457115105256828,0.019702915393187713
smape,ec2_cpu_utilization_5f5533,0.010395128395378676,0.009677249779329523,0.012825998913408325,0.07209399176056636,0.011758746339456823,0.010228539542155642,0.012207325899342295,0.03235457096876685
mase,ec2_cpu_utilization_24ae8d,0.6083124628105046,1.2925680956314,0.6101033258319828,1.6072131400943706,0.8836763093490068,0.8797872462982642,0.9778088100577009,1.3058286805168147
mase,ec2_cpu_utilization_53ea38,1.0887362230982571,0.9206739966631229,1.1024139059963833,0.7670827423758235,0.8762068793692193,0.7829917414222474,0.9268640396521675,1.1939782098117415
mase,ec2_cpu_utilization_5f5533,0.2271309871067609,0.2107360974207222,0.2790522951450058,1.73732279709736,0.25444888153452233,0.22287407323143985,0.2643879129854978,0.6979319112940497
